date,coverage_points,coverage_percent,mean_precip,max_precip,min_precip,mean_anomaly,max_anomaly,centroid_lat,centroid_lon,month,year,day_of_year,saison
2015-10-23,241,43.03571428571429,9.641245,45.79308,0.61561507,4.623309,9.97574,14.496369,-14.508818,10,2015,296,Saison_des_pluies
2005-07-15,241,43.03571428571429,22.851719,55.864117,5.009181,2.9254744,6.048077,14.52749,-14.383299,7,2005,196,Saison_des_pluies
2002-08-10,240,42.857142857142854,28.06048,57.83956,10.729513,2.8772643,5.265186,14.694792,-14.364583,8,2002,222,Saison_des_pluies
2019-10-09,238,42.5,11.439589,20.594027,2.8437355,6.2378926,13.208189,15.421219,-13.22374,10,2019,282,Saison_des_pluies
1985-07-27,238,42.5,30.098764,62.447678,9.895366,3.5195076,6.8617134,14.7720585,-13.25105,7,1985,208,Saison_des_pluies
1997-06-08,236,42.142857142857146,13.293137,39.15893,0.7543852,3.8385007,8.547063,14.606992,-13.698093,6,1997,159,Saison_des_pluies
2021-08-08,235,41.964285714285715,41.24546,79.03445,17.104473,3.692189,6.4153285,14.115425,-13.242022,8,2021,220,Saison_des_pluies
2020-09-01,235,41.964285714285715,27.275732,64.19623,11.685775,2.9153388,5.693927,14.992022,-13.154787,9,2020,245,Saison_des_pluies
2006-06-02,234,41.785714285714285,12.828496,21.871513,0.9243464,4.6088147,14.37364,14.034188,-13.080129,6,2006,153,Saison_des_pluies
1986-07-10,234,41.785714285714285,24.272408,57.70492,8.211003,4.1650095,9.967926,14.958333,-14.82265,7,1986,191,Saison_des_pluies
2022-09-21,234,41.785714285714285,23.35193,47.479942,9.966016,3.427892,8.172653,15.215812,-13.655983,9,2022,264,Saison_des_pluies
1999-10-18,233,41.60714285714286,10.938889,48.043766,0.9383235,3.7309103,8.377312,14.613197,-14.657188,10,1999,291,Saison_des_pluies
1998-06-17,233,41.60714285714286,15.475609,34.524776,1.0048492,2.9893992,4.979936,13.958691,-13.967275,6,1998,168,Saison_des_pluies
1989-06-17,232,41.42857142857143,31.170843,85.59304,1.5482538,7.0709424,15.04425,14.314655,-14.074353,6,1989,168,Saison_des_pluies
2009-10-25,231,41.25,8.125922,19.748224,0.760411,4.049225,8.263426,14.008117,-13.421536,10,2009,298,Saison_des_pluies
1991-06-03,226,40.35714285714286,13.572784,31.078657,1.0000137,5.9327846,28.022453,14.54646,-12.637168,6,1991,154,Saison_des_pluies
1988-06-24,225,40.17857142857143,12.178135,25.903736,2.1092541,3.3245125,7.4696393,15.129444,-14.080556,6,1988,176,Saison_des_pluies
2004-07-31,225,40.17857142857143,40.313534,105.58898,13.936571,3.3773556,6.722406,13.759444,-13.319445,7,2004,213,Saison_des_pluies
1999-08-29,225,40.17857142857143,33.389553,68.40405,12.782764,3.3511937,5.949246,14.816112,-14.720555,8,1999,241,Saison_des_pluies
